Plants Non-Toxic to Cats
Canna | Achira, Indian shot, African arrow root, edible canna, purple arrow root, sierra leone arrow root  | Canna indica | Cannaceae
Canna Lily | Common Garden Canna  | Canna generalis | Cannaceae
Canterbury-bell |   | Gloxinia perennis | Gesneriaceae
Cape Marigold | African Daisy  | Dimorphotheca pluvialis | Compositae
Cape Primrose | Twisted Fruit, Bavarian Belle  | Streptocarpus spp. | Gesneriaceae
Carob | Sugar Pod, Locust Pods, Algaroba, Carob Tree Kharoub, Beans  | Ceratonia siliqua | Fabaceae
Caroba | Caaroba, Carob Tree, Carobhina, Bignonia  | Jacaranda procera | Bignoniaceae
Carolina Hemlock |   | Tsuga caroliniana | Pinaceae
Carrion Flower | Jacob's Ladder  | Smilax herbacea | Liliaceae
Carrion Flower 2 | Hairy Toad Plant  | Stapelia hirsata | Asclepiadaceae
Carrot Fern |   | Onychium japonica | Polypodiaceae
Carrot Flower | Garden Carrot  | Daucus carota var. sativa | Umbelliferae
Casaba Melon | Honeydew Melon, True Cantaloupe, Muskmelon  | Cucumis melo | Cucurbitaceae
Cast Iron Plant | Bar Room Plant, Iron Plant, Variegated Cast Iron Plant  | Aspidistra elatior | Liliaceae
Cat Brier | China Root, Ti-hu-ling, Shiny Leaf Smilax  | Smilax glabra | Liliaceae
Cat Ear | Sego Lily, Star Tulip, Mariposa Lily, Cat Ear, Butterfly Tulip, Calochortus  | Calochortus spp. | Liliaceae
Cattleya Labiata | Crimson Cattleya, Ruby-lipped Cattleya  | Cattleya labiata | Orchidaceae
Celosia Globosa | Globe Amarantha, Perpetua  | Celosia globosa | Amaranthaceae
Celosia Plumosa | Cockscomb  | Celosia plumosa | Amaranthaceae
Celosia Spicata | Flamingo Feather  | Celosia spicata | Amaranthaceae
Chamaedorea | Miniature Fish Tail Dwarf Palm, Parlor Palm, Good Luck Palm  | Chamaedorea elegans | Palmae
Chaparral | Creosote Bush, Greasewood  | Larrea tridentata | Zygophyllaceae
Chervil | Garden Chervil, French Parsley  | Anthriscus cerefolium | Apiaceae
Chestnut | American Chestnut  | Castanea dentata | Fagaceae
Chicken-Gizzard | Joseph's Coat, Bloodleaf Plant  | Iresine herbstii | Amaranthaceae
Chickens and Hens | Hens and Chickens, Mother Hens and Chicks  | Echeveria elegans | Crassulaceae
Chin-lao-shu | China Root, Ti-hu-ling, Shiny Leaf Smilax, Catbrier  | Smilax glabra | Liliaceae
China Aster | Annual Aster, Aster Sinensis  | Callistephus chinensis | Compositae
China Root | Catbrier, Ti-hu-ling, Shiny Leaf Smilax  | Smilax glabra | Liliaceae
